站点,lon,lat,所属线路,所属区划
水城路,121.38761270612906,31.201336531658725,10号线(新江湾城-虹桥火车站),长宁区
龙溪路,121.3753977302746,31.19626742144717,10号线(新江湾城-虹桥火车站),长宁区
上海动物园,121.36351657501854,31.1921304131964,10号线(新江湾城-虹桥火车站),长宁区
虹桥1号航站楼,121.34278866220998,31.193281185195627,10号线(新江湾城-虹桥火车站),长宁区
徐泾东,121.29472710736854,31.19037354752373,2号线,青浦区
诸光路,121.28857426088928,31.193691645710484,17号线,青浦区
蟠龙路,121.2742020061756,31.188360506849623,17号线,青浦区
徐盈路,121.24955382075176,31.180148913589697,17号线,青浦区
徐泾北城,121.23724641890614,31.17756433628945,17号线,青浦区
嘉松中路,121.21948463328415,31.16613736994121,17号线,青浦区
赵巷,121.1878014604253,31.16323992270821,17号线,青浦区
汇金路,121.147106982459,31.163139748726522,17号线,青浦区
青浦新城,121.12107283014484,31.160810653414888,17号线,青浦区
漕盈路,121.09227856685101,31.162341844869022,17号线,青浦区
淀山湖大道,121.07753497518604,31.13635738077318,17号线,青浦区
朱家角,121.04445383749662,31.102563654904326,17号线,青浦区
东方绿舟,121.01509073371004,31.10059263081509,17号线,青浦区
江湾镇,121.48057297424148,31.307495450746213,3号线,虹口区
大柏树,121.47871992682134,31.29136357742177,3号线,虹口区
赤峰路,121.47793090791107,31.28317870075343,3号线,虹口区
虹口足球场,121.47464555486245,31.27331869724513,3号线,虹口区
东宝兴路,121.47569810281523,31.26182052682695,3号线,虹口区
海伦路,121.4842227237244,31.261261984111037,4号线,虹口区
临平路,121.49626468564877,31.262867980620808,4号线,虹口区
大连路,121.50870147619406,31.2599705610239,4号线,虹口区
杨树浦路,121.51283849466002,31.25398243661833,4号线,虹口区
曲阳路,121.48667093444168,31.27848279113702,8号线,虹口区
四平路,121.49705835934964,31.27687039321437,8号线,虹口区
邮电新村,121.48990717022915,31.270504707149115,10号线(新江湾城-虹桥火车站),虹口区
四川北路,121.4797185760813,31.25398423273416,10号线(新江湾城-虹桥火车站),虹口区
国际客运中心,121.49371842135344,31.25215104817291,12号线,虹口区
提篮桥,121.50239236131235,31.255533613752288,12号线,虹口区
中潭路,121.43638747074377,31.256418069147315,3号线,普陀区
镇坪路,121.42514654004032,31.248208489856754,3号线,普陀区
曹杨路,121.4130552549553,31.241135620289,3号线,普陀区
金沙江路,121.40850166479254,31.23383925394773,3号线,普陀区
长寿路,121.4336543118544,31.24271222658978,7号线,普陀区
岚皋路,121.41729578158987,31.25802651338252,7号线,普陀区
新村路,121.4180389052217,31.26577765725629,7号线,普陀区
桃浦新村,121.34502819425622,31.283476008220173,11号线(嘉定北-迪士尼),普陀区
武威路,121.36005556464872,31.278495909136428,11号线(嘉定北-迪士尼),普陀区
祁连山路,121.37139658655428,31.273486510472196,11号线(嘉定北-迪士尼),普陀区
李子园路,121.38531790809904,31.27084421015015,11号线(嘉定北-迪士尼),普陀区
上海西站,121.39627177696285,31.264514544656357,11号线(嘉定北-迪士尼),普陀区
真如,121.40256648369517,31.25259294752522,11号线(嘉定北-迪士尼),普陀区
