地铁线,区,点编号,地铁点,纬度,经度,边的起点编号,边的终点编号,起点纬度,起点经度,终点纬度,终点经度,,,,
5,闵行区,9,华宁路,31.00736727,121.3951726,122,122,31.00736727,121.3951726,31.00352112,121.3808234,31.0054442,121.387998,-0.001923075,-0.0071746
5,闵行区,10,文井路,31.00352112,121.3808234,123,123,31.00352112,121.3808234,31.00061038,121.3698927,31.00206575,121.3753581,-0.00145537,-0.00546535
5,闵行区,11,闵行开发区,31.00061038,121.3698927,124,124,31.00061038,121.3698927,31.00061038,121.3698927,31.00061038,121.3698927,0,0
6,浦东新区,1,港城路,31.35299056,121.5748566,125,125,31.35299056,121.5748566,31.34773386,121.5869743,31.35036221,121.5809155,-0.00262835,0.00605885
6,浦东新区,2,外高桥保税区北,31.34773386,121.5869743,126,126,31.34773386,121.5869743,31.33538512,121.5939931,31.34155949,121.5904837,-0.00617437,0.0035094
6,浦东新区,3,航津路,31.33538512,121.5939931,127,127,31.33538512,121.5939931,31.32171357,121.6019529,31.32854935,121.597973,-0.006835775,0.0039799
6,浦东新区,4,外高桥保税区南,31.32171357,121.6019529,128,128,31.32171357,121.6019529,31.3123891,121.5893966,31.31705134,121.5956748,-0.004662235,-0.00627815
6,浦东新区,5,洲海路,31.3123891,121.5893966,129,129,31.3123891,121.5893966,31.30270247,121.5893747,31.30754579,121.5893857,-0.004843315,-1.095E-05
6,浦东新区,6,五洲大道,31.30270247,121.5893747,130,130,31.30270247,121.5893747,31.2907319,121.5888734,31.29671719,121.5891241,-0.005985285,-0.00025065
6,浦东新区,7,东靖路,31.2907319,121.5888734,131,131,31.2907319,121.5888734,31.28040924,121.589025,31.28557057,121.5889492,-0.00516133,7.58E-05
6,浦东新区,8,巨峰路,31.28040924,121.589025,132,132,31.28040924,121.589025,31.27190978,121.5880777,31.27615951,121.5885514,-0.00424973,-0.00047365
6,浦东新区,9,五莲路,31.27190978,121.5880777,133,133,31.27190978,121.5880777,31.26348,121.5867786,31.26769489,121.5874282,-0.00421489,-0.00064955
6,浦东新区,10,博兴路,31.26348,121.5867786,134,134,31.26348,121.5867786,31.25718096,121.5818705,31.26033048,121.5843246,-0.00314952,-0.00245405
6,浦东新区,11,金桥路,31.25718096,121.5818705,135,135,31.25718096,121.5818705,31.2504195,121.572743,31.25380023,121.5773068,-0.00338073,-0.00456375
6,浦东新区,12,云山路,31.2504195,121.572743,136,136,31.2504195,121.572743,31.24536993,121.5643198,31.24789472,121.5685314,-0.002524785,-0.0042116
6,浦东新区,13,德平路,31.24536993,121.5643198,137,137,31.24536993,121.5643198,31.23924112,121.5528091,31.24230553,121.5585645,-0.003064405,-0.00575535
6,浦东新区,14,北洋泾路,31.23924112,121.5528091,138,138,31.23924112,121.5528091,31.23587876,121.5434926,31.23755994,121.5481509,-0.00168118,-0.00465825
6,浦东新区,15,民生路,31.23587876,121.5434926,139,139,31.23587876,121.5434926,31.23300097,121.5346921,31.23443987,121.5390924,-0.001438895,-0.00440025
6,浦东新区,16,源深体育中心,31.23300097,121.5346921,140,140,31.23300097,121.5346921,31.22891984,121.5269903,31.23096041,121.5308412,-0.002040565,-0.0038509
6,浦东新区,17,世纪大道,31.22891984,121.5269903,141,141,31.22891984,121.5269903,31.2224284,121.5321924,31.22567412,121.5295914,-0.00324572,0.00260105
6,浦东新区,18,浦电路,31.2224284,121.5321924,142,142,31.2224284,121.5321924,31.21173086,121.5278407,31.21707963,121.5300166,-0.00534877,-0.00217585
6,浦东新区,19,蓝村路,31.21173086,121.5278407,143,143,31.21173086,121.5278407,31.2030747,121.5235263,31.20740278,121.5256835,-0.00432808,-0.0021572
6,浦东新区,20,上海儿童医学中心,31.2030747,121.5235263,144,144,31.2030747,121.5235263,31.19306455,121.5169902,31.19806963,121.5202583,-0.005005075,-0.00326805
6,浦东新区,21,临沂新村,31.19306455,121.5169902,145,145,31.19306455,121.5169902,31.18568204,121.5100044,31.1893733,121.5134973,-0.003691255,-0.0034929
6,浦东新区,22,高科西路,31.18568204,121.5100044,146,146,31.18568204,121.5100044,31.17269373,121.5114486,31.17918789,121.5107265,-0.006494155,0.0007221
6,浦东新区,23,东明路,31.17269373,121.5114486,147,147,31.17269373,121.5114486,31.15982348,121.5155336,31.16625861,121.5134911,-0.006435125,0.0020425
6,浦东新区,24,高青路,31.15982348,121.5155336,148,148,31.15982348,121.5155336,31.14982991,121.5147058,31.1548267,121.5151197,-0.004996785,-0.0004139
6,浦东新区,25,华夏西路,31.14982991,121.5147058,149,149,31.14982991,121.5147058,31.1491539,121.5063767,31.14949191,121.5105413,-0.000338005,-0.00416455
